Run Index,Alpha_a,Alpha_b,Eps_a,Eps_b,Q_Init,Lambda_a,Lambda_b,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
0.0,0.595,0.345,0.745,0.265,0.235,0.065,0.245,0.245,0.705,-191.23662267002055,21.77915955296331,-213.01578222298386,-221.01868294576352,14.937270733503423,-302.7561046282356,9.203726075638206,262.6923842039978,-266.3575044891097
1.0,0.215,0.265,0.695,0.045,0.195,0.195,0.825,0.945,0.465,-225.25923512190028,22.88781048873712,-248.1470456106374,-315.7744421783151,18.853613925537775,-421.3678960297169,14.163646223591385,385.9019796180073,-374.98945056363505
2.0,0.565,0.425,0.615,0.495,0.075,0.425,0.765,0.205,0.695,-173.38025502775818,17.2385652199478,-190.61882024770597,-236.56381469295553,15.10279659443252,-322.551774708972,6.111266894042613,602.2427109739947,-282.46518341363867
3.0,0.185,0.465,0.915,0.435,0.305,0.825,0.295,0.905,0.135,-171.74523342402517,22.87492754158004,-194.6201609656052,-171.41617998143005,11.93419421272832,-266.00349271176054,7.4267877994348135,394.19260971300537,-219.38233672097317
4.0,0.335,0.385,0.905,0.285,0.625,0.145,0.645,0.885,0.945,-161.43505732825915,18.44493520476126,-179.8799925330204,-249.1271223547156,30.686024467958706,-395.5002817683302,8.760101015604278,676.9452148570126,-329.59204120717834
5.0,0.425,0.075,0.265,0.365,0.225,0.115,0.385,0.725,0.165,186.65974549863196,17.011306241937042,169.64843925669493,164.63324396724465,22.5880699073737,-36.90425962673706,19.04968312936317,1400.4776723280083,62.84552733348248
6.0,0.505,0.795,0.795,0.725,0.715,0.695,0.095,0.815,0.685,-147.62425167918698,16.457073116384738,-164.08132479557173,-253.92709502518565,15.514905304369355,-335.3729884860223,7.000073095857307,427.0543970599974,-298.61442483048484
7.0,0.275,0.455,0.885,0.635,0.825,0.365,0.795,0.775,0.315,-221.4266063398948,26.938336832620386,-248.36494317251518,-215.21815754987884,14.536582466219798,-317.0486789929754,9.704986267550304,530.1645325669961,-268.55431011386946
8.0,0.925,0.405,0.195,0.895,0.575,0.055,0.115,0.425,0.145,-8.686882616823484,16.903386492591633,-25.590269109415118,-90.56200072004395,22.143152138823655,-203.18024479135812,11.730906447058581,549.7640495369997,-153.58755221068725
9.0,0.715,0.565,0.865,0.795,0.295,0.865,0.965,0.385,0.835,-192.63096622337721,20.58271556210322,-213.21368178548045,-235.02333369559386,19.124476586559904,-336.6446832080569,7.766186440935999,686.6169025340059,-290.2530340288894
