Run Index,Alpha_a,Alpha_b,Alpha_W_a,Alpha_W_b,Q_Init,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
0.0,0.595,0.345,0.745,0.265,0.235,0.065,0.245,-129.2563603125675,10.879361540510045,-140.13572185307754,-278.0151811330562,49.119058651862005,-404.45776748138854,91.87981509194464,79.8063789519947,-394.8155769002842
1.0,0.215,0.265,0.695,0.045,0.195,0.195,0.825,-172.11180417261014,30.308382068617277,-202.4201862412274,-202.4764327234505,19.16238676355105,-296.983512007019,51.53407152943604,92.62656133499695,-272.39032510678294
2.0,0.565,0.425,0.615,0.495,0.075,0.425,0.765,-159.6572786234217,17.761141199139107,-177.4184198225608,-233.9987221675032,28.449511399603562,-370.9797544541045,43.80581531216502,160.81186017399887,-323.38316804677186
3.0,0.185,0.465,0.915,0.435,0.305,0.825,0.295,-79.43292293832559,5.89213671772088,-85.32505965604646,-258.7196985349149,93.4298981541467,-341.3802640907593,106.40957302948318,255.48059492200264,-390.40569286153396
4.0,0.335,0.385,0.905,0.285,0.625,0.145,0.645,-111.83493770761372,17.888700691063978,-129.7236383986777,-198.91715677842282,26.033199819411845,-328.33148688858256,80.56850442758738,208.07286740200652,-298.53021048516877
5.0,0.425,0.075,0.265,0.365,0.225,0.115,0.385,-102.32966362775512,14.177262674754756,-116.50692630250988,-228.18098096414488,47.821155174223975,-361.386031472272,86.07847315963612,208.23683217199869,-344.5870835357846
6.0,0.505,0.795,0.795,0.725,0.715,0.695,0.095,-121.5407131061295,5.457787683761184,-126.99850078989068,-375.6325148653942,104.45666740439249,-452.15800835279094,149.27329394533953,242.80670868100424,-528.6260302811243
7.0,0.275,0.455,0.885,0.635,0.825,0.365,0.795,-131.0164500043115,17.953649361446406,-148.9700993657579,-211.42579054733628,40.059440719289384,-318.08993445707085,76.28746916235465,223.87477981300617,-308.6421002077456
8.0,0.925,0.405,0.195,0.895,0.575,0.055,0.115,-130.90701712571243,9.405031991518097,-140.31204911723052,-304.4513393830953,64.60220641340982,-394.6070003237207,101.99296992691413,79.45780578099948,-420.07211557815697
9.0,0.715,0.565,0.865,0.795,0.295,0.865,0.965,-152.89383192735284,21.071741753652564,-173.9655736810054,-222.45086598783593,30.166792004026714,-350.1642627931462,63.248108395324984,167.77326518800692,-316.93554327050606
10.0,0.025,0.205,0.055,0.015,0.035,0.495,0.075,-45.16558795086716,11.342843889868908,-56.50843184073607,-80.14748166352761,18.08866708720141,-269.85349391929077,57.149916041646904,93.1195868520008,-189.7430532348125
11.0,0.255,0.065,0.165,0.155,0.135,0.595,0.535,-154.48561116018615,14.723422885454188,-169.20903404564035,-268.2421393150282,53.53511857629813,-455.11220828475217,79.57492183115322,107.09743102500215,-406.941206781158
12.0,0.245,0.635,0.115,0.585,0.155,0.395,0.345,-119.24848014010442,4.806257287228333,-124.05473742733275,-296.9276668399985,66.5182197558107,-439.7183152604492,121.58526869779591,100.26423323599738,-442.5889655407836
13.0,0.525,0.245,0.465,0.855,0.095,0.635,0.235,-129.3398613836093,6.71573726257642,-136.05559864618573,-328.679844672157,83.18132560208805,-430.9199721599176,94.71470106070518,113.35793915299291,-457.3705714527962
14.0,0.815,0.415,0.335,0.205,0.005,0.245,0.955,-171.36489110382502,20.65060141439021,-192.01549251821524,-190.83160639464776,22.92923086563162,-240.12153586558344,28.246165341006943,203.454305406005,-235.6035828388038
15.0,0.995,0.975,0.835,0.465,0.465,0.765,0.945,-155.40107987437213,15.956200828762453,-171.3572807031346,-208.12977261586488,33.27284604020344,-333.8184799919205,75.4803650374457,276.44725286499306,-308.56110920538754
