Run Index,Alpha_a,Alpha_W_a,Q_Init,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
0.0,0.4966500179986119,0.20841269574609905,0.7749801136396955,0.24479901853798136,0.2778308030320114,-114.70774032343375,10.331563335913362,-125.03930365934711,-209.38741505160115,27.395320227589355,-348.19258046801804,66.10317123817283,115.49406467699919,-307.78794184999066
1.0,0.215,0.265,0.695,0.045,0.195,-126.66539485782071,11.298707073797479,-137.9641019316182,-188.7156076376827,34.03705964616588,-345.2944252411984,51.61754832921568,90.6436088169994,-292.41638979847477
2.0,0.565,0.425,0.615,0.495,0.075,-48.054462381311005,9.944178137941138,-57.99864051925214,-152.4714466310017,66.4073411851716,-230.81869867762308,69.11601954138844,107.08643991899953,-251.3011599773086
3.0,0.185,0.465,0.915,0.435,0.305,-123.03327296061605,18.531908618469046,-141.5651815790851,-151.70329542302218,36.17641241514804,-288.83593239661224,53.19458510750494,255.50529609799923,-249.54003170454902
4.0,0.335,0.385,0.905,0.285,0.625,-184.05976361353262,15.865259322147388,-199.92502293568,-207.41932118545134,15.683466687520195,-313.2718618493374,28.83181082973126,110.87207967199902,-270.7031417954104
5.0,0.425,0.075,0.265,0.365,0.225,-105.53818833892356,8.907272977273738,-114.4454613161973,-217.47978981187157,48.11038757449376,-350.90932824296453,51.72065092593846,123.75452661200143,-320.4060980993804
6.0,0.42719549193881834,0.9440900177611073,0.6777114960971642,0.6710570986633719,0.6666079335171192,-84.7919182828112,13.666781719283984,-98.45870000209518,-107.78462044561243,21.086727408049864,-195.02450264573147,27.60003122460334,230.96185077700102,-166.3726222603313
7.0,0.275,0.455,0.885,0.635,0.825,-165.76962013170595,14.240652774694635,-180.0102729064006,-203.5631818304994,18.644269695794144,-287.5462824066699,23.654357283472773,272.0747157670012,-257.8047267918332
8.0,0.925,0.405,0.195,0.895,0.575,-184.6659190010045,17.20070468151858,-201.86662368252308,-232.11615870130927,31.2033786821032,-327.4471384907056,28.777684949207096,251.08995303099982,-300.48165180601256
9.0,0.715,0.565,0.865,0.795,0.295,-89.5824439393765,22.107964581168968,-111.69040852054547,-169.81295406932338,56.6018861569252,-272.2063998684789,58.077519143471456,230.61270938599955,-267.9624717405293
10.0,0.025,0.205,0.055,0.015,0.035,-83.44173277373233,11.088926884432945,-94.53065965816528,-169.71282871894175,42.3593162441235,-396.4395465344111,94.18286048410775,195.6137839080002,-323.4922497852467
11.0,0.255,0.065,0.165,0.155,0.135,-128.2799727922341,10.92174455287818,-139.20171734511229,-261.3048058729729,67.32455268007848,-414.2921314493245,67.26218357424192,129.24601003899988,-389.7993411412574
12.0,0.245,0.635,0.115,0.585,0.155,-85.25934923706461,16.457919642327653,-101.71726887939226,-107.01650416892264,21.010561188805152,-241.14258848488316,29.676323818661654,174.64467344399964,-185.1438041360546
13.0,0.525,0.245,0.465,0.855,0.095,-104.09775705664168,8.947284952549197,-113.04504200919088,-166.46802848783835,48.077385280333786,-283.755810092534,61.28544716079121,128.44953174900002,-266.74375116223337
14.0,0.815,0.415,0.335,0.205,0.005,-130.3988683860057,7.503810896351582,-137.90267928235727,-256.6180127117955,62.413186858462225,-411.65798038489066,69.94766893575262,97.12863884300168,-384.0609794704119
