Run Index,Alpha_a,Alpha_b,Eps_a,Eps_b,Q_Init,N_Steps,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
0.0,0.595,0.345,0.745,0.265,0.235,0.065,0.245,0.245,-10.124336703561116,23.138244350882616,-33.26258105444373,-51.95303183726802,16.00597332892778,-172.8510159852724,7.316239319300578,227.22534754300432,-112.84230522154667
1.0,0.215,0.265,0.695,0.045,0.195,0.195,0.825,0.945,-174.41802815314935,18.111272102074842,-192.5293002552242,-229.70194372248062,12.696294988589184,-342.74612713192585,8.96878932191163,319.6099664259964,-286.1249098081769
2.0,0.565,0.425,0.615,0.495,0.075,0.425,0.765,0.205,231.5764318240422,10.241113482496214,221.33531834154599,183.7508955082662,28.331954236371732,25.643616181243523,19.16951691200049,683.1293473789992,95.84100447083391
3.0,0.185,0.465,0.915,0.435,0.305,0.825,0.295,0.905,-1.4028772527920284,27.304720541206198,-28.707597793998225,-41.264516600688026,8.576073869432935,-121.95190037163759,7.4134942008788585,459.6344213919947,-81.65051211107915
4.0,0.335,0.385,0.905,0.285,0.625,0.145,0.645,0.885,-184.29901602402683,19.691252828662932,-203.99026885268975,-207.24186027327536,5.846047525633431,-288.33011648993,5.1609955805812255,684.277085905007,-245.24918950754977
5.0,0.425,0.075,0.265,0.365,0.225,0.115,0.385,0.725,82.41649977365142,35.329276814190926,47.0872229594605,65.36031405665233,25.989335087307342,-176.5960913476435,10.307445031143555,557.073981831003,-51.13882716990783
6.0,0.505,0.795,0.795,0.725,0.715,0.695,0.095,0.815,-91.51874131433564,20.326341708434832,-111.84508302277047,-68.80369430614039,9.263231946691299,-123.7530437751659,8.881336930329477,186.98170082500292,-99.89390803389716
7.0,0.275,0.455,0.885,0.635,0.825,0.365,0.795,0.775,-39.022933805954374,35.14654616538647,-74.16947997134085,-44.347506979007264,23.03467584324758,-192.91856378901213,9.229745139300485,1386.8038924810025,-121.28863326467796
8.0,0.925,0.405,0.195,0.895,0.575,0.055,0.115,0.425,-113.39150796778594,19.580475637090178,-132.97198360487613,-109.1481477483953,9.737852156329396,-197.3305542354421,6.030417654685556,433.5270277229938,-152.67598869888587
9.0,0.715,0.565,0.865,0.795,0.295,0.865,0.965,0.385,211.66402919948368,20.050811225873204,191.61321797361046,103.85063770571819,24.776546517306315,-21.612913271619618,16.222775190545203,905.1865766150004,32.31017932818119
10.0,0.025,0.205,0.055,0.015,0.035,0.495,0.075,0.615,-147.29118495902858,18.433637661402216,-165.7248226204308,-116.13600762346341,11.623348599383949,-191.1502467150287,6.332508268177631,323.713020823001,-155.64871572699093
11.0,0.255,0.065,0.165,0.155,0.135,0.595,0.535,0.785,36.12992606234745,26.178587090445266,9.951338971902185,8.97971187673101,11.801341589217905,-77.7205398369001,10.431030447512311,408.6325152330028,-36.9536059412571
12.0,0.245,0.635,0.115,0.585,0.155,0.395,0.345,0.155,-49.77643992436041,21.538436783159455,-71.31487670751986,-66.60945060397532,6.152245195304601,-137.27364417188272,4.6978031042548425,419.93602047699824,-100.44559639002297
13.0,0.525,0.245,0.465,0.855,0.095,0.635,0.235,0.235,-12.769236246276078,19.37479280978095,-32.14402905605703,-23.26932067029828,8.964529863129032,-80.860053794919,4.408008822284652,233.0088650319958,-53.44753536693785
14.0,0.815,0.415,0.335,0.205,0.005,0.245,0.955,0.465,206.03566728215654,15.739407513245641,190.2962597689109,168.09064903166075,19.96771634351465,-30.617320624622515,19.202990373099073,925.6928413249989,68.94563521379902
15.0,0.995,0.975,0.835,0.465,0.465,0.765,0.945,0.655,49.18910669993537,27.34024737127113,21.848859328664243,41.589372932669264,14.066870769271206,-78.92432379421432,8.222417425020005,854.6010172160022,-18.34519518965489
16.0,0.515,0.725,0.775,0.675,0.905,0.255,0.035,0.665,-167.75968054122532,20.622993217978397,-188.38267375920373,-155.35126639030338,12.540253437743049,-225.64799708069532,6.234281548094372,309.76585518199863,-193.48782334834374
17.0,0.615,0.375,0.515,0.455,0.365,0.295,0.905,0.275,179.31880257297752,18.22806214524787,161.09074042772966,169.79480241585117,17.282976783199498,-16.227512818368574,19.796170776680107,987.0774542919971,77.09762194157152
18.0,0.045,0.535,0.985,0.485,0.635,0.805,0.725,0.215,-67.73552979249837,20.924410003421308,-88.65993979591968,-56.357320886555854,14.924308358626147,-139.5252473781507,5.690783733731822,1493.5029655149992,-100.85538999186221
19.0,0.975,0.505,0.395,0.745,0.385,0.785,0.845,0.515,162.2259736990875,23.404084486293762,138.82188921279374,98.03024052431353,35.489925658743864,-51.00227716158142,14.588679377902158,373.0515236690044,11.287806303548365
20.0,0.945,0.955,0.715,0.095,0.965,0.815,0.375,0.645,-137.22589957469043,15.774397755839487,-153.00029733052992,-127.4370049576657,5.222406844005047,-179.22809412302618,8.65980087232798,166.63225404100376,-154.75080507914413
21.0,0.375,0.475,0.365,0.135,0.085,0.185,0.285,0.225,5.781200996728797,31.771373480868426,-25.990172484139627,-10.191569614880757,13.384416404306315,-120.61359274286028,8.806220915280436,678.7688354880011,-65.91351707476854
22.0,0.285,0.435,0.995,0.025,0.125,0.665,0.735,0.475,-63.228403111997565,23.814874789594654,-87.04327790159222,-101.04652373138364,15.864352123029192,-200.14585967016222,17.470589271452614,276.19855094899685,-157.19310508929362
23.0,0.805,0.695,0.595,0.865,0.835,0.435,0.635,0.405,108.33902078086075,30.274362218462127,78.06465856239862,62.724951035648715,32.73203463147819,-84.05522503528456,26.608499209845792,674.0980733219985,-26.26973985554983
24.0,0.075,0.165,0.155,0.505,0.665,0.125,0.165,0.035,-67.4260742774308,19.74574625728976,-87.17182053472055,-77.11243007914365,20.00393072521027,-212.35097853985968,16.10648442772456,738.0623931180016,-149.65280166964604
25.0,0.575,0.185,0.105,0.235,0.525,0.645,0.155,0.255,-68.52750401778817,17.74866697487127,-86.27617099265944,-73.23928305965617,8.183292573184731,-150.33791676344347,8.577702818647978,131.3009809130017,-112.41979321254112
