rep,episode,mean,hw
0.000000000000000000e+00,0.000000000000000000e+00,-3.096091308361525876e+02,7.349125085783023792e+01
0.000000000000000000e+00,2.500000000000000000e+01,-4.603367543691837227e+02,8.871721709449236926e+01
0.000000000000000000e+00,5.000000000000000000e+01,-3.629272217060223511e+02,9.243929827802631394e+01
0.000000000000000000e+00,7.500000000000000000e+01,-1.832339648316888940e+02,4.717277644026594174e+01
0.000000000000000000e+00,1.000000000000000000e+02,-1.932023916695428341e+02,8.424325751374702520e+01
0.000000000000000000e+00,1.250000000000000000e+02,-8.995587357340549772e+01,5.689425551412257676e+01
0.000000000000000000e+00,1.500000000000000000e+02,1.297124901542496378e+00,7.416601331865207669e+01
0.000000000000000000e+00,1.750000000000000000e+02,-3.137260131975684274e+01,7.355498070041612380e+01
0.000000000000000000e+00,2.000000000000000000e+02,5.314649612867547290e+01,6.903543329393640704e+01
0.000000000000000000e+00,2.250000000000000000e+02,1.311904432642821519e+02,5.499855449571067822e+01
0.000000000000000000e+00,2.500000000000000000e+02,9.031684027704990569e+01,6.958653703020200965e+01
0.000000000000000000e+00,2.750000000000000000e+02,-2.265900067613508995e+01,9.354981942635070880e+01
0.000000000000000000e+00,3.000000000000000000e+02,3.752183994513982412e+01,7.403179305504892227e+01
0.000000000000000000e+00,3.250000000000000000e+02,5.700354856826337624e+01,9.138381007914620113e+01
0.000000000000000000e+00,3.500000000000000000e+02,2.639209377520288413e+01,8.434958913230721578e+01
0.000000000000000000e+00,3.750000000000000000e+02,1.139091342235574587e+02,5.783216786558628542e+01
0.000000000000000000e+00,4.000000000000000000e+02,1.163966324465825295e+02,6.733279896676422993e+01
0.000000000000000000e+00,4.250000000000000000e+02,1.286462606930663242e+02,5.923063871032140071e+01
0.000000000000000000e+00,4.500000000000000000e+02,2.042871822014415670e+02,3.408256407951934364e+01
0.000000000000000000e+00,4.750000000000000000e+02,1.795369440324916184e+02,3.413851190315906337e+01
0.000000000000000000e+00,5.000000000000000000e+02,1.503527509947600436e+02,5.136472006378492949e+01
1.000000000000000000e+00,0.000000000000000000e+00,-3.942897726141926569e+02,4.437346137718245842e+01
1.000000000000000000e+00,2.500000000000000000e+01,-4.580627381963677749e+02,7.936610359904800305e+01
1.000000000000000000e+00,5.000000000000000000e+01,-2.877316350256955388e+02,6.635133729658092250e+01
1.000000000000000000e+00,7.500000000000000000e+01,-1.713771446192598376e+02,7.330588955111440441e+01
1.000000000000000000e+00,1.000000000000000000e+02,-1.402999713935857358e+02,5.147362620756020846e+01
1.000000000000000000e+00,1.250000000000000000e+02,-1.297681187455428926e+02,8.260928313732866002e+01
1.000000000000000000e+00,1.500000000000000000e+02,-1.481526044368101225e+02,6.033166666415897339e+01
1.000000000000000000e+00,1.750000000000000000e+02,-1.124818225597849342e+01,8.526111543669827597e+01
1.000000000000000000e+00,2.000000000000000000e+02,-2.720876979797325390e+01,7.814817032111665185e+01
1.000000000000000000e+00,2.250000000000000000e+02,9.486196877345855683e+01,8.725919858456947509e+01
