rep,episode,mean,hw
0.000000000000000000e+00,0.000000000000000000e+00,-4.801931067517637644e+02,3.825492276998544838e+01
0.000000000000000000e+00,2.500000000000000000e+01,-5.322504168704582526e+02,3.448678346788119597e+01
0.000000000000000000e+00,5.000000000000000000e+01,-5.358683531251367640e+02,3.832484121698310986e+01
0.000000000000000000e+00,7.500000000000000000e+01,-5.596952617601734801e+02,4.557787097442673740e+01
0.000000000000000000e+00,1.000000000000000000e+02,-5.609723954150401823e+02,4.649224390413154850e+01
0.000000000000000000e+00,1.250000000000000000e+02,-5.624244859470949223e+02,4.717295565739628671e+01
0.000000000000000000e+00,1.500000000000000000e+02,-5.464142472893380500e+02,4.858476933272747544e+01
0.000000000000000000e+00,1.750000000000000000e+02,-5.448964905283791040e+02,5.055885650500790263e+01
0.000000000000000000e+00,2.000000000000000000e+02,-5.371888798969915797e+02,5.303253886710091081e+01
0.000000000000000000e+00,2.250000000000000000e+02,-5.243106205957625434e+02,5.414761840560991146e+01
0.000000000000000000e+00,2.500000000000000000e+02,-5.192061763355039830e+02,5.415389719887843256e+01
0.000000000000000000e+00,2.750000000000000000e+02,-5.123187805540914042e+02,5.682446386695546892e+01
0.000000000000000000e+00,3.000000000000000000e+02,-4.970168847141851529e+02,6.166887936105236889e+01
0.000000000000000000e+00,3.250000000000000000e+02,-4.781117744661664233e+02,6.769682722274697539e+01
0.000000000000000000e+00,3.500000000000000000e+02,-4.337658001212455474e+02,7.560797325672810132e+01
0.000000000000000000e+00,3.750000000000000000e+02,-4.144409251273233963e+02,7.817670151863400463e+01
0.000000000000000000e+00,4.000000000000000000e+02,-3.483407869423237457e+02,8.820216737683355746e+01
0.000000000000000000e+00,4.250000000000000000e+02,-3.392123812083543726e+02,9.297007592815903365e+01
0.000000000000000000e+00,4.500000000000000000e+02,-2.225457765805955432e+02,5.805774674653942924e+01
0.000000000000000000e+00,4.750000000000000000e+02,-2.138062425337665218e+02,5.890321908449956112e+01
0.000000000000000000e+00,5.000000000000000000e+02,-1.159485082483807332e+02,1.664889363991626681e+01
1.000000000000000000e+00,0.000000000000000000e+00,-4.388573176441762485e+02,4.138003241306034852e+01
1.000000000000000000e+00,2.500000000000000000e+01,-3.903565337795315031e+02,7.543830062504946454e+01
1.000000000000000000e+00,5.000000000000000000e+01,-4.055920777496742176e+02,7.667302078958731215e+01
1.000000000000000000e+00,7.500000000000000000e+01,-2.443315506479948738e+02,5.584370354679732884e+01
1.000000000000000000e+00,1.000000000000000000e+02,-3.397192065935246887e+02,9.391605687839783911e+01
1.000000000000000000e+00,1.250000000000000000e+02,-2.571750892111597295e+02,9.974707241069116037e+01
1.000000000000000000e+00,1.500000000000000000e+02,-2.670331535287737665e+02,8.478141422075405842e+01
1.000000000000000000e+00,1.750000000000000000e+02,-2.786860791509185447e+02,9.539772228090140516e+01
1.000000000000000000e+00,2.000000000000000000e+02,-1.772981928292792304e+02,8.149404083040235491e+01
1.000000000000000000e+00,2.250000000000000000e+02,-2.130692297101803092e+02,6.100965109191474056e+01
1.000000000000000000e+00,2.500000000000000000e+02,-2.450446440482887454e+02,4.837642277962026327e+01
1.000000000000000000e+00,2.750000000000000000e+02,-2.037522083367471737e+02,5.713543329149226224e+01
1.000000000000000000e+00,3.000000000000000000e+02,-1.380059509407238920e+02,4.626234647744644235e+01
1.000000000000000000e+00,3.250000000000000000e+02,-5.508025259836498577e+01,3.121996325666124150e+01
1.000000000000000000e+00,3.500000000000000000e+02,-8.189776978064234925e+01,2.826173230037190720e+01
1.000000000000000000e+00,3.750000000000000000e+02,-1.163864800969203515e+02,4.451701485702303529e+01
1.000000000000000000e+00,4.000000000000000000e+02,-1.416014589096741076e+02,5.987804526602104715e+01
1.000000000000000000e+00,4.250000000000000000e+02,-1.022524614633599924e+02,4.185438624688013931e+01
1.000000000000000000e+00,4.500000000000000000e+02,-1.520429013630628674e+02,5.186118727569878217e+01
1.000000000000000000e+00,4.750000000000000000e+02,-1.876071312619399976e+02,5.841561948483116851e+01
1.000000000000000000e+00,5.000000000000000000e+02,-1.851841618674054359e+02,6.411226274327123065e+01
2.000000000000000000e+00,0.000000000000000000e+00,-5.466648339894030642e+02,5.293564276492832477e+01
2.000000000000000000e+00,2.500000000000000000e+01,-5.733165440787742000e+02,4.454919560543672929e+01
2.000000000000000000e+00,5.000000000000000000e+01,-5.348455083169454838e+02,3.463186051281517308e+01
2.000000000000000000e+00,7.500000000000000000e+01,-5.385192395079050129e+02,3.416314419263161284e+01
2.000000000000000000e+00,1.000000000000000000e+02,-5.081956684389208476e+02,3.684699961686618508e+01
2.000000000000000000e+00,1.250000000000000000e+02,-5.164418566232947114e+02,3.758534376691238066e+01
2.000000000000000000e+00,1.500000000000000000e+02,-4.992484483589196884e+02,4.383411095560874315e+01
2.000000000000000000e+00,1.750000000000000000e+02,-4.294349959510945496e+02,7.467082723016346790e+01
2.000000000000000000e+00,2.000000000000000000e+02,-4.102227675940185350e+02,8.224713884848463863e+01
2.000000000000000000e+00,2.250000000000000000e+02,-3.201048801316318304e+02,8.480164274013628756e+01
2.000000000000000000e+00,2.500000000000000000e+02,-2.819691734212876213e+02,8.754250024391375007e+01
2.000000000000000000e+00,2.750000000000000000e+02,-2.757039195062163230e+02,7.667641207295237393e+01
2.000000000000000000e+00,3.000000000000000000e+02,-2.088372612339135515e+02,7.745353065017073391e+01
2.000000000000000000e+00,3.250000000000000000e+02,-1.887698545035018185e+02,7.419382833702978530e+01
2.000000000000000000e+00,3.500000000000000000e+02,-1.648311076312735395e+02,6.357569506421393157e+01
2.000000000000000000e+00,3.750000000000000000e+02,-1.311767429631735808e+02,5.539757597390101296e+01
2.000000000000000000e+00,4.000000000000000000e+02,-1.114179006945247039e+02,6.129667123753373659e+01
2.000000000000000000e+00,4.250000000000000000e+02,-1.046340971959549648e+02,5.191282241442345224e+01
2.000000000000000000e+00,4.500000000000000000e+02,-1.271764241544307765e+02,5.578212204394905172e+01
2.000000000000000000e+00,4.750000000000000000e+02,-1.237678910847665037e+02,5.580979388974719058e+01
2.000000000000000000e+00,5.000000000000000000e+02,-1.490685377522702879e+02,7.144967334780784540e+01
3.000000000000000000e+00,0.000000000000000000e+00,-5.824084022059707877e+02,8.914668695496165185e+01
3.000000000000000000e+00,2.500000000000000000e+01,-6.026770608778418818e+02,2.476663145186470061e+01
3.000000000000000000e+00,5.000000000000000000e+01,-5.484517365623311207e+02,2.693850186213942877e+01
3.000000000000000000e+00,7.500000000000000000e+01,-4.395457031989347456e+02,5.144115512273844359e+01
3.000000000000000000e+00,1.000000000000000000e+02,-4.831209389869133020e+02,4.573943372220468007e+01
3.000000000000000000e+00,1.250000000000000000e+02,-3.293675409542665875e+02,3.681361261117851313e+01
3.000000000000000000e+00,1.500000000000000000e+02,-2.926132988803489070e+02,2.990144297826640951e+01
3.000000000000000000e+00,1.750000000000000000e+02,-1.882707030109637856e+02,3.196652698086838740e+01
3.000000000000000000e+00,2.000000000000000000e+02,-1.277622251201244268e+02,1.949053889581132637e+01
3.000000000000000000e+00,2.250000000000000000e+02,-1.015153101773106670e+02,1.826050159761087244e+01
3.000000000000000000e+00,2.500000000000000000e+02,-1.196002830560854164e+02,1.815088745848219887e+01
3.000000000000000000e+00,2.750000000000000000e+02,-1.404774882580339863e+02,2.087287874140988109e+01
3.000000000000000000e+00,3.000000000000000000e+02,-1.549598386623594308e+02,2.824272788205769302e+01
