rep,episode,mean,hw
0.000000000000000000e+00,0.000000000000000000e+00,-4.194363163107604464e+02,4.288364534839358555e+01
0.000000000000000000e+00,2.500000000000000000e+01,-1.862005808593939662e+02,3.890895811141932370e+01
0.000000000000000000e+00,5.000000000000000000e+01,-2.598970818466099217e+02,5.644120568670511062e+01
0.000000000000000000e+00,7.500000000000000000e+01,-8.681243864491720785e+01,6.643683599503241055e+01
0.000000000000000000e+00,1.000000000000000000e+02,4.278614541985430719e+01,4.530135195778532875e+01
0.000000000000000000e+00,1.250000000000000000e+02,2.163609516684024570e+01,4.555097878583288207e+01
0.000000000000000000e+00,1.500000000000000000e+02,4.408092798516772604e+01,3.841820826613322026e+01
0.000000000000000000e+00,1.750000000000000000e+02,8.468233239721521954e+01,5.094343143272411112e+01
0.000000000000000000e+00,2.000000000000000000e+02,1.121573038890974630e+02,5.853528545535780836e+01
0.000000000000000000e+00,2.250000000000000000e+02,1.465745991343395360e+02,5.439262649187736542e+01
0.000000000000000000e+00,2.500000000000000000e+02,1.255238507132690273e+02,5.363359096154216843e+01
0.000000000000000000e+00,2.750000000000000000e+02,1.406747812947248235e+02,4.418454222479568472e+01
0.000000000000000000e+00,3.000000000000000000e+02,1.772938884002728344e+02,4.100230944970350322e+01
0.000000000000000000e+00,3.250000000000000000e+02,9.216788322373312781e+01,5.968379121893398320e+01
0.000000000000000000e+00,3.500000000000000000e+02,2.075767325861145878e+02,3.599330034174057147e+01
0.000000000000000000e+00,3.750000000000000000e+02,1.927201058631486035e+02,3.254827527737479897e+01
0.000000000000000000e+00,4.000000000000000000e+02,2.289430985087394106e+02,1.034119837910669482e+01
0.000000000000000000e+00,4.250000000000000000e+02,2.284942428285266089e+02,1.450280889883474877e+01
0.000000000000000000e+00,4.500000000000000000e+02,1.780967367041324962e+02,4.681557861439721080e+01
0.000000000000000000e+00,4.750000000000000000e+02,2.189920730771745809e+02,2.324386308495543219e+01
0.000000000000000000e+00,5.000000000000000000e+02,1.247552823245535478e+02,5.862939281410485393e+01
1.000000000000000000e+00,0.000000000000000000e+00,-3.024600554782671793e+02,4.712717141643398122e+01
1.000000000000000000e+00,2.500000000000000000e+01,-2.535521305154146887e+02,4.652070217696684296e+01
1.000000000000000000e+00,5.000000000000000000e+01,-8.474119385870716314e+01,6.640308392477028576e+01
1.000000000000000000e+00,7.500000000000000000e+01,-9.641495928870381249e+01,5.770093336786648308e+01
1.000000000000000000e+00,1.000000000000000000e+02,-1.197189469722379052e+01,6.457723481178355485e+01
1.000000000000000000e+00,1.250000000000000000e+02,7.518700971041811343e+00,7.754303596591900316e+01
1.000000000000000000e+00,1.500000000000000000e+02,3.776779890790586336e+01,7.301529298283602998e+01
1.000000000000000000e+00,1.750000000000000000e+02,5.426306606431903390e+01,7.713646964858503452e+01
1.000000000000000000e+00,2.000000000000000000e+02,2.340208640635387383e+01,6.124422783967923323e+01
1.000000000000000000e+00,2.250000000000000000e+02,9.644627464136069639e-01,6.927832500139479066e+01
1.000000000000000000e+00,2.500000000000000000e+02,5.083612610444821911e+01,6.045550479787303289e+01
1.000000000000000000e+00,2.750000000000000000e+02,1.216973738059609786e+02,6.104880468271687732e+01
1.000000000000000000e+00,3.000000000000000000e+02,8.015622174395888067e+01,5.920755142881480282e+01
1.000000000000000000e+00,3.250000000000000000e+02,9.753943051674137621e+01,5.162205037996072576e+01
1.000000000000000000e+00,3.500000000000000000e+02,7.320162669882999751e+01,5.230962454940086559e+01
1.000000000000000000e+00,3.750000000000000000e+02,1.499134041132579398e+02,5.183201647141367374e+01
1.000000000000000000e+00,4.000000000000000000e+02,1.234079580399052105e+02,4.459994084356907251e+01
1.000000000000000000e+00,4.250000000000000000e+02,1.644396972259544611e+02,5.214500738115809497e+01
1.000000000000000000e+00,4.500000000000000000e+02,1.678985200739863046e+02,4.460464825962034041e+01
1.000000000000000000e+00,4.750000000000000000e+02,2.103088227790708231e+02,3.410231904904043887e+01
1.000000000000000000e+00,5.000000000000000000e+02,1.855522996120330959e+02,5.413073075996561556e+01
2.000000000000000000e+00,0.000000000000000000e+00,-4.430988367909185968e+02,5.258121286250993620e+01
2.000000000000000000e+00,2.500000000000000000e+01,-2.109984527188667016e+02,5.122001423521438568e+01
