Rank,Run Index,Alpha_a,Alpha_b,Alpha_W_a,Alpha_W_b,Q_Init,N_Tilings,S_Intervals,AlgScore,SP95LB,Mean Max EETDR,Max 95ME,Mean Time-Avg EETDR,Time-Avg 95ME,Wallclock
1.0,10.0,0.025,0.205,0.055,0.015,0.035,0.495,0.075,-189.7430532348125,-56.50843184073607,-80.14748166352761,18.08866708720141,-269.85349391929077,57.149916041646904,93.1195868520008
2.0,18.0,0.045,0.535,0.985,0.485,0.635,0.805,0.725,-202.31751964820307,-108.34296705438281,-144.84093004762482,26.656433599466265,-215.88676136845362,32.66099228141747,144.42853764600295
3.0,93.0,0.145,0.935,0.935,0.035,0.725,0.165,0.935,-225.44402446974863,-125.20429234902066,-172.53774631597852,27.452030398918534,-227.27849771355704,36.34689838846888,97.45167638000567
4.0,14.0,0.815,0.415,0.335,0.205,0.005,0.245,0.955,-235.6035828388038,-192.01549251821524,-190.83160639464776,22.92923086563162,-240.12153586558344,28.246165341006943,203.454305406005
5.0,43.0,0.055,0.295,0.685,0.535,0.845,0.655,0.925,-238.50057610432634,-171.731354941378,-177.57893425891103,22.21246839304201,-258.18598319575864,38.378353087127635,122.63765894000244
6.0,99.0,0.085,0.445,0.605,0.275,0.375,0.035,0.705,-241.06939065817056,-141.69528670671338,-177.0683114180438,23.464135203881238,-259.0194768647239,42.855329847815,91.9928428580024
7.0,50.0,0.835,0.825,0.255,0.225,0.945,0.045,0.835,-245.82221997653838,-178.9686001676118,-193.10058020361032,21.5806428665281,-255.75869877312851,36.77501656300981,89.37574483599747
8.0,65.0,0.095,0.905,0.525,0.715,0.245,0.405,0.995,-251.51572287437372,-159.65544120227807,-193.54743865572502,20.874255080151563,-272.3659554408404,34.79081114127903,239.23140403100115
9.0,39.0,0.395,0.965,0.125,0.845,0.335,0.075,0.875,-252.0826845239751,-150.9102184112434,-195.19041633151818,22.428087757724132,-266.00601159202364,37.77294358405063,216.80739654999343
10.0,59.0,0.965,0.865,0.455,0.825,0.595,0.265,0.755,-264.88093062949696,-150.89033117890386,-186.94799822816293,24.069925267159366,-290.0311689681497,55.64427236260931,115.38546147500165
