Rank,Run Index,Alpha_a,Alpha_W_a,Q_Init,N_Tilings,S_Intervals,AlgScore,SP95LB,Mean Max EETDR,Max 95ME,Mean Time-Avg EETDR,Time-Avg 95ME,Wallclock
1.0,63.0,0.555,0.815,0.355,0.805,0.615,-133.23939670334852,-78.01471777826914,-86.41035735489773,10.956311002057868,-175.79278612248947,11.255703100448457,152.85930396799995
2.0,35.0,0.295,0.925,0.555,0.335,0.565,-140.18753421857986,-91.84841665019493,-88.7613909997614,11.453086962482109,-184.58910822651703,15.55801037656729,255.2595882049991
3.0,52.0,0.205,0.895,0.485,0.615,0.435,-140.37116380688389,-79.51417049018572,-91.0635546187131,17.20906624926276,-172.3783701824886,16.140608032757335,282.10532893300115
4.0,88.0,0.355,0.855,0.085,0.305,0.545,-144.79435872696286,-37.45732651999183,-92.27920801423106,22.760096913514765,-164.79391161729265,24.633027808495683,119.13221473300109
5.0,38.0,0.175,0.775,0.065,0.475,0.285,-152.57343421995384,-89.55904739952098,-93.58719815182069,17.36957040568295,-194.1381873008348,20.860245412794356,275.98906811099914
6.0,65.0,0.095,0.905,0.525,0.715,0.245,-161.81075549256585,-65.6207566650318,-92.25223217308391,22.99501414806633,-204.9713194735983,26.68469977609091,348.63412987799893
7.0,67.0,0.315,0.665,0.955,0.315,0.425,-162.30810562344942,-103.86214376044788,-108.73364522129766,15.497048025223068,-199.83588344803795,19.588340740804455,117.54005892600071
8.0,49.0,0.035,0.845,0.725,0.875,0.765,-166.15391574018741,-139.74316732705455,-126.27284648850453,8.507870557502711,-201.9239801005997,11.289733680857955,310.2347518890001
9.0,6.0,0.42719549193881834,0.9440900177611073,0.6777114960971642,0.6710570986633719,0.6666079335171192,-166.3726222603313,-98.45870000209518,-107.78462044561243,21.086727408049864,-195.02450264573147,27.60003122460334,230.96185077700102
10.0,76.0,0.745,0.885,0.375,0.685,0.685,-170.00682401223258,-66.12889390028614,-105.94313373819969,35.9463066924518,-178.33865336869604,33.84424601590816,122.46820457400099
